@id,CityName,StreetName,leisure,name,,,
508365355,DKI Jakarta,Jalan Kebagusan I,pitch,Viva Futsal,,,
508918490,DKI Jakarta,Jalan Jeruk,pitch,Vero Futsal,,,
508943469,DKI Jakarta,"Jalan Bantar Jati, Kelurahan Setu, Kecamatan Cipayung, Jakarta Timur",pitch,Lapangan Sepakbola Setu,,,
508955431,DKI Jakarta,Jalan Kamal Raya,pitch,Futsal Rakyat,,,
509162264,DKI Jakarta,Jalan Kalisari Lapan No.47,pitch,La Vai Futsal,,,
509177974,DKI Jakarta,Jalan Baru II,pitch,Lapangan Lantamal II,,,
509343205,DKI Jakarta,Jalan Balai Rakyat,pitch,Lapangan Bola Pondok Bambu,,,
509533101,DKI Jakarta,Jalan Raya Malaka,pitch,Malaka Futsal,,,4
509716638,DKI Jakarta,Jalan Wira Kencana,pitch,Popeye Futsal,,,
510664902,DKI Jakarta,Jalan Masjid Dalam I A,pitch,Ground Futsal,,,
511717086,DKI Jakarta,Jalan Bumi Gotong Royong,pitch,Lapangan Sepakbola Cijantung,,,
512012562,DKI Jakarta,Jalan H. Jusin,pitch,AM Zoesin Futsal,,,
513554831,DKI Jakarta,Jalan Lingkar Barat No.9A,pitch,Centro Futsal 2,,,
513554970,DKI Jakarta,Jalan H. Jairi No.4C,pitch,MD Futsal,,,
